Numéro compte;Numéro facture;Date;Niveau de charge;Type d'accès;Numéro accès;Libellé ligne facture;Rubrique facture;Indicateur abo principal/option;Type de charge;Type de trafic;Unité;Quantité (Acte);Nombre de lignes;Quantité (Volume (Mo));Quantité (Durée (hh:mm:ss));Quantité (Volume (Ko));Quantité (Hors conso);Montant (€ HT);Montant TVA;Montant (€ TTC)
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;Transfert d'appel (tarif 1);abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;2,5;0,5;3,0
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;autres consommations;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;1005,0;0,0;0,0;0,0;0,0;0,0
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;compléments de services;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;62,0;0,0;0,0;0,0;0,0;0,0
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;fixes France métropolitaine;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;13725,0;0,0;0,0;10,28;2,056;12,335999999999999
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;mobiles France métropolitaine (Free);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;1333,0;0,0;0,0;2,0;0,4;2,4
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;mobiles France métropolitaine (Orange);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;4816,0;0,0;0,0;7,17;1,4340000000000002;8,604
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;mobiles France métropolitaine (SFR);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;2016,0;0,0;0,0;3,01;0,602;3,6119999999999997
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;remise communications fixes métropole 6,6% - compensation augmentation 2023;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-0,15;-0,03;-0,18
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;remise communications mobiles métropole 6,6% - compensation augmentation 2023;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-0,23;-0,046000000000000006;-0,276
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;remise sur Contrat Pro 6,84% - compensation augmentation 2022;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,17;-0,634;-3,804
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;remise sur Contrat Pro 7,553% - compensation augmentation 2025;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-2,73;-0,546;-3,276
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;remise sur Contrat Pro 8,17% - compensation augmentation 2024;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,22;-0,644;-3,864
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;remise sur Contrat Pro 8,9% - compensation augmentation 2023;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,84;-0,768;-4,608
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;remise sur communications fixes métropole 78%;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-8,02;-1,6039999999999999;-9,623999999999999
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;remise sur communications mobiles métropole 72%;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-8,77;-1,7539999999999998;-10,524
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;remise sur ligne analogique 30%;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-19,86;-3,972;-23,831999999999997
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;service et appel gratuits;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;1507,0;0,0;0,0;0,0;0,0;0,0
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742955;Contrat Professionnel;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;66,2;13,24;79,44
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742955;Liste Rouge;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742955;remise sur Contrat Pro 6,84% - compensation augmentation 2022;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,17;-0,634;-3,804
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742955;remise sur Contrat Pro 7,553% - compensation augmentation 2025;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-2,73;-0,546;-3,276
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742955;remise sur Contrat Pro 8,17% - compensation augmentation 2024;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,21;-0,642;-3,852
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742955;remise sur Contrat Pro 8,9% - compensation augmentation 2023;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,84;-0,768;-4,608
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742955;remise sur ligne analogique 30%;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-19,86;-3,972;-23,831999999999997
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;Contrat Professionnel;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;66,2;13,24;79,44
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;Facture Détaillée à 10 chiffres;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;Messagerie vocale 3103;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;autres consommations;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;1594,0;0,0;0,0;0,0;0,0;0,0
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;compléments de services;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;79,0;0,0;0,0;0,0;0,0;0,0
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;fixes France métropolitaine;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;25959,0;0,0;0,0;19,49;3,8979999999999997;23,387999999999998
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;mobiles France métropolitaine (Bouygues);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;319,0;0,0;0,0;0,47;0,09399999999999999;0,564
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;mobiles France métropolitaine (Free);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;858,0;0,0;0,0;1,31;0,262;1,572
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;mobiles France métropolitaine (Orange);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;1893,0;0,0;0,0;2,82;0,564;3,384
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;mobiles France métropolitaine (SFR);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;1361,0;0,0;0,0;2,03;0,4059999999999999;2,4359999999999995
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;remise communications fixes métropole 6,6% - compensation augmentation 2023;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-0,28;-0,05600000000000001;-0,336
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;remise communications mobiles métropole 6,6% - compensation augmentation 2023;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-0,12;-0,024;-0,144
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;remise sur Contrat Pro 6,84% - compensation augmentation 2022;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,17;-0,634;-3,804
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;remise sur Contrat Pro 7,553% - compensation augmentation 2025;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-2,73;-0,546;-3,276
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;remise sur Contrat Pro 8,17% - compensation augmentation 2024;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,21;-0,642;-3,852
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546743490;remise sur Contrat Pro 8,9% - compensation augmentation 2023;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,84;-0,768;-4,608
